date,inflation,unemployment
1960-09-01,1.4186745007411832,4.5
1960-10-01,1.3496075316727956,4.7
1960-11-01,1.9561507620677914,4.8
1960-12-01,1.5500593915094323,5.1
1961-01-01,1.5500593915094323,5.2
1961-02-01,0.4033605279090618,5.3
1961-03-01,0.4029545956602692,5.3
1961-04-01,0.20147709398128763,5.4
1961-05-01,0.5363953834517637,5.7
1961-06-01,0.6700852230239679,5.2
1961-07-01,0.9372862918282582,5.4
1961-08-01,1.138358677887256,5.1
1961-09-01,0.9370839378671153,4.9
1961-10-01,1.1372173601486273,4.7
1961-11-01,0.8009576862061646,4.5
1961-12-01,1.1333131196033224,4.4
1962-01-01,1.2646507422636548,4.1
1962-02-01,1.5298148125321414,3.9
1962-03-01,1.7284245444090056,4.0
1962-04-01,1.329878423714818,4.0
1962-05-01,1.1961483121256038,4.0
1962-06-01,1.127191060334302,4.0
1962-07-01,1.6533551429780229,3.9
1962-08-01,1.1252061943400264,4.1
1962-09-01,0.9265964624631623,4.0
1962-10-01,1.1250091608758377,3.9
1962-11-01,1.453802625277682,4.2
1962-12-01,1.319526693455723,4.0
1963-01-01,0.5916743130481666,4.2
1963-02-01,0.6580023575926836,4.3
1963-03-01,0.8548527512934706,4.1
1963-04-01,1.5103755307100546,4.1
1963-05-01,1.6380838207158448,3.9
1963-06-01,1.7662785739794888,3.8
1963-07-01,1.3743062290591894,3.8
1963-08-01,1.7662755628841824,3.8
1963-09-01,1.7645471204029077,3.5
1963-10-01,1.7587969205834535,3.7
1963-11-01,1.6246929584863106,3.9
1963-12-01,1.0397623925310777,3.8
1964-01-01,1.4289962816347794,3.7
1964-02-01,1.2983250227466085,3.6
1964-03-01,1.297064137762986,3.6
1964-04-01,0.8409648958030352,3.5
1964-05-01,0.5168591836226127,3.3
1964-06-01,0.9042065046370101,3.6
1964-07-01,0.9033312817286404,3.3
1964-08-01,1.0960902980170977,3.3
1964-09-01,1.4806354014470318,3.4
1964-10-01,1.5432901637777923,3.6
1964-11-01,1.6707948396887977,3.1
1964-12-01,1.4773712420098877,3.1
1965-01-01,1.4759503838115455,3.1
1965-02-01,1.665691614753632,3.2
1965-03-01,1.7246340747882487,3.1
1965-04-01,2.2942271946424104,3.2
1965-05-01,1.9124138444367482,3.1
1965-06-01,1.7224201775589958,2.9
1965-07-01,1.9743444158687045,2.8
1965-08-01,1.7169562482094485,2.8
1965-09-01,1.7115191508944954,2.7
1965-10-01,1.5155191909149306,2.6
1965-11-01,1.8937155866464865,2.5
1965-12-01,3.3384143978153293,2.5
1966-01-01,3.5181156992368603,2.5
1966-02-01,3.9498664183299983,2.4
1966-03-01,3.7516599664897434,2.3
1966-04-01,3.307210113138707,2.2
1966-05-01,3.551192725426281,2.2
1966-06-01,3.5291532205804756,2.2
1966-07-01,3.518269251330567,2.2
1966-08-01,3.507452234455103,2.2
1966-09-01,3.2563955557363613,2.1
1966-10-01,3.3142331516779624,2.0
1966-11-01,2.7603608109969127,2.1
1966-12-01,2.1355979071139544,2.1
1967-01-01,1.5230404798551458,2.1
1967-02-01,1.518414063014987,2.0
1967-03-01,1.3357656611884963,2.1
1967-04-01,2.300915873256896,2.2
1967-05-01,3.0230231567250723,2.1
1967-06-01,3.01392281637232,2.2
1967-07-01,3.6109377417454827,2.1
1967-08-01,3.6001152309229436,2.1
1967-09-01,4.787058851100982,2.1
1967-10-01,4.168570138074438,2.1
1967-11-01,4.156204831591474,2.1
1967-12-01,4.1439127003115175,2.2
1968-01-01,4.131693096575754,2.1
1968-02-01,4.119545380346427,2.2
1968-03-01,3.513997109005599,2.1
1968-04-01,4.083446897385738,1.9
1968-05-01,4.647949355429452,1.9
1968-06-01,4.634504994078629,2.1
1968-07-01,4.621138243869808,1.9
1968-08-01,5.177649004462164,2.0
1968-09-01,5.16282589358528,1.9
1968-10-01,5.133349106555055,1.9
1968-11-01,4.542409107202697,1.8
1968-12-01,4.529567294259709,1.7
1969-01-01,5.63411637646243,1.8
1969-02-01,5.602548477858529,1.8
1969-03-01,5.586940427226054,1.8
1969-04-01,5.555898023302279,1.8
1969-05-01,6.086996445356623,1.8
1969-06-01,6.070250616590395,1.8
1969-07-01,5.4782838030675025,2.0
1969-08-01,5.4484176779732225,1.9
1969-09-01,5.969839549626606,2.1
1969-10-01,5.937605117392192,2.2
1969-11-01,5.905716900088504,2.0
1969-12-01,6.417647610195194,2.1
1970-01-01,6.383505536490969,2.4
1970-02-01,6.349724843564537,2.6
1970-03-01,5.7968193040638445,2.7
1970-04-01,5.766422067448936,2.9
1970-05-01,5.220878027415051,3.0
1970-06-01,4.67960787391953,3.2
1970-07-01,4.655380133156369,3.4
1970-08-01,4.631401873445158,3.5
1970-09-01,5.127149780360582,3.6
1970-10-01,5.100981360409803,3.9
1970-11-01,5.088030005698094,4.0
1970-12-01,4.573891188217347,4.2
1971-01-01,4.049503295408394,4.1
1971-02-01,3.5290951321430875,4.0
1971-03-01,3.5113729401610705,4.0
1971-04-01,3.493827761325594,4.0
1971-05-01,3.485142359005353,4.1
1971-06-01,3.9777531964437873,4.0
1971-07-01,3.9679005550121804,4.0
1971-08-01,3.958096633443562,4.2
1971-09-01,3.449587954041853,4.1
1971-10-01,2.9448370008251157,4.0
1971-11-01,2.937627845197497,4.1
1971-12-01,3.4158907941668293,4.0
1972-01-01,2.924490302766367,3.9
1972-02-01,2.917386011774612,3.7
1972-03-01,2.910316167605762,3.8
1972-04-01,2.9032805203262324,3.8
1972-05-01,2.89627882241442,3.7
1972-06-01,2.403873935528198,3.8
1972-07-01,3.358527873475712,3.6
1972-08-01,3.3504954684589006,3.5
1972-09-01,3.816435056193699,3.6
1972-10-01,3.8073639386320224,3.8
1972-11-01,4.268924102265901,3.4
1972-12-01,5.195607427568714,3.2
1973-01-01,6.101418605900264,3.2
1973-02-01,7.008847702740138,3.1
1973-03-01,6.976312211942269,3.1
1973-04-01,7.87135669554565,3.0
1973-05-01,6.9301802249573825,3.0
1973-06-01,9.144937502395456,3.0
1973-07-01,8.173361275005286,2.8
1973-08-01,8.56078430016739,2.9
1973-09-01,8.961241966071276,2.9
1973-10-01,9.337418759238513,2.7
1973-11-01,11.497245973061398,2.8
1973-12-01,10.014088607551097,2.9
1974-01-01,11.239364623524759,3.1
1974-02-01,10.724683244623023,3.1
1974-03-01,11.48789584994089,3.0
1974-04-01,11.391066994942113,3.2
1974-05-01,10.455729577037566,3.1
1974-06-01,10.753054519392935,3.2
1974-07-01,11.444500836975289,3.3
1974-08-01,11.770298379436426,3.5
1974-09-01,11.652080614159841,3.6
1974-10-01,11.559388137432833,3.9
1974-11-01,11.876324160396976,4.2
1974-12-01,10.589474614750314,4.8
1975-01-01,8.544319666069642,5.5
1975-02-01,7.720867755661241,5.7
1975-03-01,6.137441932501818,6.1
1975-04-01,6.090635211349237,6.4
1975-05-01,6.418368270971406,6.8
1975-06-01,6.011881478251321,6.5
1975-07-01,6.72743996463466,6.5
1975-08-01,7.0687653059599755,6.2
1975-09-01,8.148601715211754,6.5
1975-10-01,7.727001336520632,6.3
1975-11-01,6.577266918447632,6.2
1975-12-01,6.194949116774995,5.8
1976-01-01,5.076716109758028,5.5
1976-02-01,4.334957867999788,5.2
1976-03-01,3.947281684759495,5.2
1976-04-01,3.9261205135848622,5.2
1976-05-01,4.264897111354281,5.2
1976-06-01,4.959105751233538,5.5
1976-07-01,5.648444416951125,5.5
1976-08-01,6.332968226474921,5.4
1976-09-01,5.954295796598573,5.5
1976-10-01,5.923168246886021,5.4
1976-11-01,5.892364448958941,5.5
1976-12-01,6.8840258853437675,5.4
1977-01-01,6.848709850981258,5.2
1977-02-01,7.149325063509212,5.3
1977-03-01,7.125145443474698,5.0
1977-04-01,7.089120946816959,4.9
1977-05-01,7.053459223733024,4.8
1977-06-01,5.996008313664011,4.6
1977-07-01,5.638868413630024,4.5
1977-08-01,5.27537935662142,4.4
1977-09-01,5.9074139886560495,4.2
1977-10-01,5.878478183276147,4.3
1977-11-01,6.1708517953638164,4.2
1977-12-01,6.140947489143675,4.1
1978-01-01,6.756124274533235,4.0
1978-02-01,7.35461851859328,4.0
1978-03-01,7.933851492192422,4.0
1978-04-01,8.516497153607771,3.7
1978-05-01,8.77084954279158,3.7
1978-06-01,9.035285789550073,3.5
1978-07-01,9.586385339132173,3.6
1978-08-01,9.813609551081601,3.5
1978-09-01,9.127925651359412,3.6
1978-10-01,8.762723239645407,3.6
1978-11-01,8.991566561272233,3.4
1978-12-01,9.813988135908644,3.7
1979-01-01,10.016168703768544,3.6
1979-02-01,10.214518655902092,3.5
1979-03-01,11.288557235165229,3.5
1979-04-01,12.344268408523414,3.5
1979-05-01,12.793030030429493,3.3
1979-06-01,12.667042629169652,3.4
1979-07-01,12.543514186255464,3.6
1979-08-01,12.691190590335042,3.7
1979-09-01,12.552561212961743,3.7
1979-10-01,12.680085907049909,3.8
1979-11-01,13.324877682532687,3.8
1979-12-01,13.971172027457134,3.8
1980-01-01,14.856389209670304,4.2
1980-02-01,14.70335469636038,4.2
1980-03-01,14.553445430915756,4.5
1980-04-01,14.143408711209526,5.2
1980-05-01,11.524974696156555,5.7
1980-06-01,10.413656635685976,5.8
1980-07-01,9.311538816796064,6.0
1980-08-01,9.221067876865442,5.9
1980-09-01,9.36846514753499,5.8
1980-10-01,9.27923969311434,5.6
1980-11-01,10.888667302541956,5.5
1980-12-01,11.27074518423107,5.2
1981-01-01,10.951689240175101,5.5
1981-02-01,10.173325230564613,5.5
1981-03-01,9.394978997672977,5.4
1981-04-01,9.309543642022224,5.2
1981-05-01,9.667636541551573,5.5
1981-06-01,9.362828801039235,5.4
1981-07-01,9.951470094669645,5.1
1981-08-01,9.467270236753366,5.3
1981-09-01,8.976999939202479,5.4
1981-10-01,7.8329352649626145,5.8
1981-11-01,6.260610067247728,6.1
1981-12-01,5.366148642777945,6.6
1982-01-01,3.4138709855111684,6.6
1982-02-01,3.4029823973186537,6.8
1982-03-01,4.441188190173416,7.1
1982-04-01,6.095585650214161,7.3
1982-05-01,6.488893931599381,7.3
1982-06-01,6.263557121516837,7.8
1982-07-01,6.263557121516837,8.0
1982-08-01,6.448810558811156,8.1
1982-09-01,4.350200118336898,8.5
1982-10-01,1.4438989117229053,8.7
1982-11-01,0.8223876580429094,9.0
1982-12-01,0.6164213397170085,9.0
1983-01-01,0.82050297237005,8.4
1983-02-01,1.4287849982100511,8.8
1983-03-01,2.4423751957693622,8.6
1983-04-01,3.457845900180132,8.6
1983-05-01,3.8532582926516046,8.5
1983-06-01,4.250170605530688,8.0
1983-07-01,4.645489572278247,7.7
1983-08-01,4.015187132699136,7.7
1983-09-01,3.800708628746916,7.6
1983-10-01,3.990954632384378,7.3
1983-11-01,4.566796269981186,6.9
1983-12-01,4.945025794652488,6.6
1984-01-01,4.93042051688933,6.3
1984-02-01,4.911061606563657,6.1
1984-03-01,4.703045195739905,5.9
1984-04-01,4.496046815602525,5.9
1984-05-01,3.8868323275956658,5.6
1984-06-01,3.483769274195456,5.4
1984-07-01,3.473686596236156,5.4
1984-08-01,3.4603206276628913,5.5
1984-09-01,3.4536888576158193,5.6
1984-10-01,3.4470824741978574,5.5
1984-11-01,3.0547732701961734,5.4
1984-12-01,3.613692946622535,5.5
1985-01-01,3.9797140752868194,5.5
1985-02-01,3.5901580403877893,5.4
1985-03-01,3.5833999017214597,5.3
1985-04-01,3.7632343477250614,5.5
1985-05-01,3.756180451549582,5.2
1985-06-01,2.9922939417537626,5.8
1985-07-01,2.4222737931369838,5.5
1985-08-01,2.787797462093797,5.4
1985-09-01,3.3356246725679912,5.3
1985-10-01,3.693354372691235,5.2
1985-11-01,4.051854956741393,5.1
1985-12-01,3.3164856710820114,5.1
1986-01-01,1.8518796134456919,4.9
1986-02-01,0.37855188196847767,5.4
1986-03-01,0.008870816676517457,5.4
1986-04-01,-0.1746154218555871,5.3
1986-05-01,-0.7223936726716316,5.5
1986-06-01,-0.17577802789700314,5.4
1986-07-01,1.6480414133129697,5.5
1986-08-01,2.744950004263744,5.1
1986-09-01,2.55594848991417,5.4
1986-10-01,2.546641216945131,5.4
1986-11-01,3.4468583514299573,5.3
